kind	label	script	variant	delta	k_layers	mip_time_limit	verified	timeout	unknown	unsafe	unverified	unresolved	properties	expected_properties	number_sum	time_sum	time_average	time_max	result	log
run	Incomplete-LayerABS on vnncomp_6x100 with k=1	LayerABS_incomplete_layerabs	vnncomp_6x100	0.019	1		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_6x100 with k=2	LayerABS_incomplete_layerabs	vnncomp_6x100	0.019	2		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_6x100 with k=3	LayerABS_incomplete_layerabs	vnncomp_6x100	0.019	3		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_6x100 with k=4	LayerABS_incomplete_layerabs	vnncomp_6x100	0.019	4		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_6x100 with k=5	LayerABS_incomplete_layerabs	vnncomp_6x100	0.019	5		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_9x100 with k=1	LayerABS_incomplete_layerabs	vnncomp_9x100	0.018	1		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_9x100 with k=2	LayerABS_incomplete_layerabs	vnncomp_9x100	0.018	2		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_9x100 with k=3	LayerABS_incomplete_layerabs	vnncomp_9x100	0.018	3		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_9x100 with k=4	LayerABS_incomplete_layerabs	vnncomp_9x100	0.018	4		0	0	0	0	0	0	0	100						
run	Incomplete-LayerABS on vnncomp_9x100 with k=5	LayerABS_incomplete_layerabs	vnncomp_9x100	0.018	5		0	0	0	0	0	0	0	100						
aggregate							0	0	0	0	0	0								
