kind	label	script	variant	delta	k_layers	mip_time_limit	verified	timeout	unknown	unsafe	unverified	unresolved	properties	expected_properties	number_sum	time_sum	time_average	time_max	result	log
run	PureSART on mnist_5x50	LayerABS_puresart	mnist_5x50	0.018			0	0	0	0	0	0	0	100						
run	PureSART on mnist_5x80	LayerABS_puresart	mnist_5x80	0.019			0	0	0	0	0	0	0	100						
run	PureSART on mnist_6x100	LayerABS_puresart	mnist_6x100	0.019			0	0	0	0	0	0	0	100						
run	PureSART on mnist_9x100	LayerABS_puresart	mnist_9x100	0.018			0	0	0	0	0	0	0	100						
run	PureSART on mnist_10x80	LayerABS_puresart	mnist_10x80	0.015			0	1	0	0	0	0	1	10	0	180.32036232948303	180.32036232948303	180.32036232948303	Symbolic_Computation/result/original_result/mnist_new_10x80_sym_number_result_delta_0.015_2026-04-12 20:17:32.txt	Symbolic_Computation/result/log/LayerABS_puresart_complete_mnist_10x80_log_2026-04-12 20:17:32.txt
run	PureSART on mnist_9x200	LayerABS_puresart	mnist_9x200	0.018			0	0	0	0	0	0	0	100						
run	PureSART on vnncomp_6x100	LayerABS_puresart	vnncomp_6x100	0.019			0	0	0	0	0	0	0	2						
run	PureSART on vnncomp_9x100	LayerABS_puresart	vnncomp_9x100	0.018			0	0	0	0	0	0	0	100						
run	PureSART on cifar10_5x50	LayerABS_puresart	cifar10_5x50	0.003			0	0	0	0	0	0	0	100						
run	PureSART on cifar10_6x80	LayerABS_puresart	cifar10_6x80	0.0038			0	0	0	0	0	0	0	100						
run	Standard MILP on mnist_5x50	LayerABS_standard_milp	mnist_5x50	0.018			0	0	0	0	0	0	0	100						
run	Standard MILP on mnist_5x80	LayerABS_standard_milp	mnist_5x80	0.019			0	0	0	0	0	0	0	100						
run	Standard MILP on mnist_6x100	LayerABS_standard_milp	mnist_6x100	0.019			0	0	0	0	0	0	0	100						
run	Standard MILP on mnist_9x100	LayerABS_standard_milp	mnist_9x100	0.018			0	0	0	0	0	0	0	100						
run	Standard MILP on mnist_10x80	LayerABS_standard_milp	mnist_10x80	0.015			0	1	0	0	0	0	1	1	0	180.3200695514679	180.3200695514679	180.3200695514679	Symbolic_Computation/result/original_result/mnist_new_10x80_sym_number_result_delta_0.015_2026-04-12 20:21:36.txt	Symbolic_Computation/result/log/LayerABS_puremilp_complete_mnist_10x80_log_2026-04-12 20:21:36.txt
run	Standard MILP on mnist_9x200	LayerABS_standard_milp	mnist_9x200	0.018			0	0	0	0	0	0	0	100						
run	Standard MILP on vnncomp_6x100	LayerABS_standard_milp	vnncomp_6x100	0.019			0	0	0	0	0	0	0	1						
run	Standard MILP on vnncomp_9x100	LayerABS_standard_milp	vnncomp_9x100	0.018			0	0	0	0	0	0	0	100						
run	Standard MILP on cifar10_5x50	LayerABS_standard_milp	cifar10_5x50	0.01			0	0	0	0	0	0	0	100						
run	Standard MILP on cifar10_6x80	LayerABS_standard_milp	cifar10_6x80	0.004			0	0	0	0	0	0	0	100						
aggregate							0	2	0	0	0	0								
