original_index,true_label,pred_label,correct,saved_index
0,7,7,1,0
1,2,2,1,1
2,1,1,1,2
3,0,0,1,3
4,4,4,1,4
5,1,1,1,5
6,4,4,1,6
7,9,9,1,7
8,5,5,1,8
9,9,9,1,9
10,0,0,1,10
11,6,6,1,11
12,9,9,1,12
13,0,0,1,13
14,1,1,1,14
15,5,5,1,15
16,9,9,1,16
17,7,7,1,17
18,3,3,1,18
19,4,4,1,19
20,9,9,1,20
21,6,6,1,21
22,6,6,1,22
23,5,5,1,23
24,4,4,1,24
25,0,0,1,25
26,7,7,1,26
27,4,4,1,27
28,0,0,1,28
29,1,1,1,29
30,3,3,1,30
31,1,1,1,31
32,3,3,1,32
33,4,6,0,-1
34,7,7,1,33
35,2,2,1,34
36,7,7,1,35
37,1,1,1,36
38,2,5,0,-1
39,1,1,1,37
40,1,1,1,38
41,7,7,1,39
42,4,4,1,40
43,2,2,1,41
44,3,3,1,42
45,5,5,1,43
46,1,1,1,44
47,2,2,1,45
48,4,4,1,46
49,4,4,1,47
50,6,6,1,48
51,3,3,1,49
52,5,5,1,50
53,5,5,1,51
54,6,6,1,52
55,0,0,1,53
56,4,4,1,54
57,1,1,1,55
58,9,9,1,56
59,5,5,1,57
60,7,7,1,58
61,8,8,1,59
62,9,9,1,60
63,3,3,1,61
64,7,7,1,62
65,4,4,1,63
66,6,6,1,64
67,4,4,1,65
68,3,3,1,66
69,0,0,1,67
70,7,7,1,68
71,0,0,1,69
72,2,2,1,70
73,9,7,0,-1
74,1,1,1,71
75,7,7,1,72
76,3,3,1,73
77,2,2,1,74
78,9,9,1,75
79,7,7,1,76
80,7,7,1,77
81,6,6,1,78
82,2,2,1,79
83,7,7,1,80
84,8,8,1,81
85,4,4,1,82
86,7,7,1,83
87,3,3,1,84
88,6,6,1,85
89,1,1,1,86
90,3,3,1,87
91,6,6,1,88
92,9,9,1,89
93,3,3,1,90
94,1,1,1,91
95,4,4,1,92
96,1,1,1,93
97,7,7,1,94
98,6,6,1,95
99,9,9,1,96
100,6,6,1,97
101,0,0,1,98
102,5,5,1,99
